,country,link
0,USA,country/us/
1,Spain,country/spain/
2,Italy,country/italy/
3,France,country/france/
4,Germany,country/germany/
5,UK,country/uk/
6,Turkey,country/turkey/
7,Iran,country/iran/
8,Russia,country/russia/
9,Brazil,country/brazil/
10,Belgium,country/belgium/
11,Canada,country/canada/
12,Netherlands,country/netherlands/
13,Switzerland,country/switzerland/
14,India,country/india/
15,Portugal,country/portugal/
16,Ecuador,country/ecuador/
17,Peru,country/peru/
18,Ireland,country/ireland/
19,Sweden,country/sweden/
20,Saudi Arabia,country/saudi-arabia/
21,Austria,country/austria/
22,Israel,country/israel/
23,Mexico,country/mexico/
24,Japan,country/japan/
25,Chile,country/chile/
26,Singapore,country/singapore/
27,Pakistan,country/pakistan/
28,Poland,country/poland/
29,S. Korea,country/south-korea/
30,Romania,country/romania/
31,UAE,country/united-arab-emirates/
32,Belarus,country/belarus/
33,Qatar,country/qatar/
34,Indonesia,country/indonesia/
35,Denmark,country/denmark/
36,Ukraine,country/ukraine/
37,Serbia,country/serbia/
38,Norway,country/norway/
39,Czechia,country/czech-republic/
40,Philippines,country/philippines/
41,Australia,country/australia/
42,Dominican Republic,country/dominican-republic/
43,Malaysia,country/malaysia/
44,Panama,country/panama/
45,Colombia,country/colombia/
46,Bangladesh,country/bangladesh/
47,Finland,country/finland/
48,South Africa,country/south-africa/
49,Egypt,country/egypt/
50,Morocco,country/morocco/
51,Luxembourg,country/luxembourg/
52,Argentina,country/argentina/
53,Algeria,country/algeria/
54,Moldova,country/moldova/
55,Thailand,country/thailand/
56,Kuwait,country/kuwait/
57,Bahrain,country/bahrain/
58,Greece,country/greece/
59,Kazakhstan,country/kazakhstan/
60,Hungary,country/hungary/
61,Croatia,country/croatia/
62,Uzbekistan,country/uzbekistan/
63,Oman,country/oman/
64,Iceland,country/iceland/
65,Iraq,country/iraq/
66,Estonia,country/estonia/
67,Armenia,country/armenia/
68,Azerbaijan,country/azerbaijan/
69,New Zealand,country/new-zealand/
70,Cameroon,country/cameroon/
71,Bosnia and Herzegovina,country/bosnia-and-herzegovina/
72,Lithuania,country/lithuania/
73,Slovenia,country/slovenia/
74,Slovakia,country/slovakia/
75,Afghanistan,country/afghanistan/
76,North Macedonia,country/macedonia/
77,Cuba,country/cuba/
78,Ghana,country/ghana/
79,Bulgaria,country/bulgaria/
80,Nigeria,country/nigeria/
81,Ivory Coast,country/cote-d-ivoire/
82,Hong Kong,country/china-hong-kong-sar/
83,Djibouti,country/djibouti/
84,Guinea,country/guinea/
85,Tunisia,country/tunisia/
86,Bolivia,country/bolivia/
87,Cyprus,country/cyprus/
88,Latvia,country/latvia/
89,Andorra,country/andorra/
90,Lebanon,country/lebanon/
